_r;_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;objID;f_objID;Qual;e_RAJ2000;e_DEJ2000;Epoch;Ns;Nd;gmag;e_gmag;gKmag;e_gKmag;gFlags;rmag;e_rmag;rKmag;e_rKmag;rFlags;imag;e_imag;iKmag;e_iKmag;iFlags;zmag;e_zmag;zKmag;e_zKmag;zFlags;ymag;e_ymag;yKmag;e_yKmag;yFlags
0.7699;305.95823972;38.48227274;305.95823972;38.48227274;1.54173059582479E+017;503635968;60;0.011;0.0097;55984.23585648;5;54;19.166;0.0092;19.2192;0.021;16892216;17.7761;0.0095;17.8374;0.0142;115000;17.2934;0.0192;17.4301;0.0358;115000;16.71;0.0195;16.8541;0.0047;115000;16.453;0.0046;16.5488;0.0234;115000
0.7841;305.94121755;38.49999368;305.94121755;38.49999368;1.54203059408571E+017;310456320;37;0.0177;0.0177;55478.22152778;0;5;        ;       ;       ;       ;0;       ;       ;       ;       ;0;14.2223;0.0018;       ;       ;4120;13.2087;0.0012;12.447;0.001;16777752;13.9368;0.0373;       ;       ;4120
0.7857;305.94169283;38.50005535;305.94169283;38.50005535;1.54203059414761E+017;276901888;33;0.029;0.029;56499.56696759;0;5;        ;       ;       ;       ;0;       ;       ;       ;       ;0;13.1119;0.0697;12.4435;0.0633;16777232;9.1601;0.4254;       ;       ;16;       ;       ;       ;       ;0
0.7859;305.92837553;38.49336539;305.92837553;38.49336539;1.54193059283733E+017;503635968;60;0.0159;0.0095;55693.56146991;3;36;26.881;       ;       ;       ;16420;23.079;       ;       ;       ;16420;20.4298;0.0363;20.4514;0.0127;115000;18.7081;0.0237;18.8427;0.0596;115000;17.5644;0.0114;17.6444;0.0398;115000
0.7873;305.92674021;38.49019692;305.92674021;38.49019692;1.54183059268059E+017;436527104;52;0.0205;0.0262;55770.90414352;4;31;        ;       ;       ;       ;16416;       ;       ;       ;       ;114720;20.8667;0.0881;21.2421;0.0303;115000;19.8703;0.0745;20.142;0.1273;115000;19.1895;0.0576;19.3077;0.1136;115000
0.8041;305.95110334;38.49880497;305.95110334;38.49880497;1.54193059511009E+017;503635968;60;0.0134;0.0135;55761.09131944;5;52;16.2252;0.0038;16.1704;0.0031;115000;15.3832;0.0052;15.4489;0.008;115000;14.9689;0.0039;15.0488;0.0055;115000;14.6935;0.0083;14.8279;0.0004;115000;14.4656;0.0088;14.5771;0.0042;115000
0.8119;305.94171289;38.50049363;305.94171289;38.50049363;1.54203059415331E+017;268959744;32;0.0698;0.0698;55123.27210648;0;8;10.7943;0.0198;12.4807;0.069;24;9.1553;0.0493;12.2805;0.0124;24;       ;       ;       ;       ;0;8.3225;0.001;12.3216;0.001;16;9.8053;       ;10.3573;0.1232;24
0.8176;305.95758279;38.49444455;305.95758279;38.49444455;1.54193059576714E+017;512024576;61;0.0532;0.0215;55857.52038194;3;40;21.121;       ;       ;       ;16420;18.7662;0.0177;17.5903;0.0098;16793912;18.4499;0.0674;16.7093;0.0255;16892216;17.8482;0.1083;       ;       ;16892216;17.4178;0.0594;16.3361;0.1859;16892216
0.8244;305.95637415;38.47810224;305.95637415;38.47810224;1.54173059563734E+017;503635968;60;0.021;0.03;55818.45579861;5;39;21.397;0.1416;20.6525;0.1728;16892216;20.1339;0.0263;20.3025;0.0611;115000;18.723;0.0056;18.9242;0.0239;115000;17.7624;0.015;17.9202;0.0296;115000;17.0922;0.0117;17.2655;0.0129;115000
0.8259;305.94212279;38.50074846;305.94212279;38.50074846;1.54203059419842E+017;276901888;33;0.0132;0.0132;55786.6127662;0;8;        ;       ;       ;       ;0;13.033;0.001;11.6252;0.001;16777240;13.4995;0.0097;12.1281;0.0262;16777240;       ;       ;       ;       ;0;11.977;0.2253;10.2001;0.2082;16777240
